MUNICÍPIO,CONFIRMADOS,ÓBITOS,DESCARTADOS,EM INVESTIGAÇÃO,TOTAL
GUARAQUECABA,,,2,0,2
GUARATUBA,,,19,2,21
MATINHOS,2,,12,1,15
MORRETES,,,17,0,17
PARANAGUA,5,2,76,6,87
PONTAL DO PARANA,,,10,0,10
ADRIANOPOLIS,,,5,1,6
AGUDOS DO SUL,,,6,0,6
ALMIRANTE TAMANDARE,4,,50,2,56
ARAUCARIA,4,,52,4,60
BALSA NOVA,5,,12,0,17
BOCAIUVA DO SUL,,,5,0,5
CAMPINA GRANDE DO SUL,1,,20,2,23
CAMPO DO TENENTE,,,6,1,7
CAMPO LARGO,11,,74,10,95
CAMPO MAGRO,1,,32,1,34
CERRO AZUL,,,12,0,12
COLOMBO,7,,118,13,138
CONTENDA,1,,14,0,15
CURITIBA,279,5,1777,84,2140
FAZENDA RIO GRANDE,5,,63,7,75
ITAPERUCU,,,6,4,10
LAPA,2,,29,10,41
MANDIRITUBA,2,,48,4,54
PIEN,,,6,0,6
PINHAIS,13,,85,1,99
PIRAQUARA,3,,73,9,85
QUATRO BARRAS,1,,23,2,26
QUITANDINHA,1,,12,2,15
RIO BRANCO DO SUL,2,,18,1,21
RIO NEGRO,2,,25,2,29
SAO JOSE DOS PINHAIS,11,,131,11,153
TIJUCAS DO SUL,,,9,0,9
TUNAS DO PARANA,,,3,0,3
ARAPOTI,,,4,0,4
CARAMBEI,,,5,0,5
CASTRO,2,,34,0,36
IPIRANGA,,,1,0,1
IVAI,,,6,0,6
JAGUARIAIVA,,,3,0,3
PALMEIRA,2,,8,0,10
PIRAI DO SUL,,,7,0,7
PONTA GROSSA,5,,118,7,130
PORTO AMAZONAS,,,1,0,1
SENGES,,,4,0,4
FERNANDES PINHEIRO,,,3,0,3
GUAMIRANGA,,,1,0,1
IMBITUVA,,,8,0,8
INACIO MARTINS,,,2,0,2
IRATI,,,30,2,32
MALLET,,,1,1,2
REBOUCAS,,,7,0,7
RIO AZUL,,,7,0,7
TEIXEIRA SOARES,,,1,0,1
CAMPINA DO SIMAO,,,1,0,1
CANDOI,,,3,0,3
CANTAGALO,,,2,0,2
FOZ DO JORDAO,,,0,1,1
GUARAPUAVA,1,,112,11,124
LARANJAL,,,1,0,1
