ordem_brasil_io,codigo_municipio,municipio,municipio_brasil_io,municipio_sesa
1,103,Abatiá,Abatiá,ABATIA
2,202,Adrianópolis,Adrianópolis,ADRIANOPOLIS
3,301,Agudos do Sul,Agudos do Sul,AGUDOS DO SUL
4,400,Almirante Tamandaré,Almirante Tamandaré,ALMIRANTE TAMANDARE
5,459,Altamira do Paraná,Altamira do Paraná,ALTAMIRA DO PARANA
6,608,Alto Paraná,Alto Paraná,ALTO PARANA
7,28625,Alto Paraíso,Alto Paraíso,ALTO PARAISO
8,707,Alto Piquiri,Alto Piquiri,ALTO PIQUIRI
9,509,Altônia,Altônia,ALTONIA
10,806,Alvorada do Sul,Alvorada do Sul,ALVORADA DO SUL
11,905,Amaporã,Amaporã,AMAPORA
12,1002,Ampére,Ampére,AMPERE
13,1051,Anahy,Anahy,ANAHY
14,1101,Andirá,Andirá,ANDIRA
15,1200,Antonina,Antonina,ANTONINA
16,1309,Antônio Olinto,Antônio Olinto,ANTONIO OLINTO
17,1408,Apucarana,Apucarana,APUCARANA
18,1507,Arapongas,Arapongas,ARAPONGAS
19,1606,Arapoti,Arapoti,ARAPOTI
20,1655,Arapuã,Arapuã,ARAPUA
21,1705,Araruna,Araruna,ARARUNA
22,1804,Araucária,Araucária,ARAUCARIA
23,1853,Ariranha do Ivaí,Ariranha do Ivaí,ARIRANHA DO IVAI
24,1903,Assaí,Assaí,ASSAI
25,2000,Assis Chateaubriand,Assis Chateaubriand,ASSIS CHATEAUBRIAND
26,2109,Astorga,Astorga,ASTORGA
27,2208,Atalaia,Atalaia,ATALAIA
28,2307,Balsa Nova,Balsa Nova,BALSA NOVA
29,2406,Bandeirantes,Bandeirantes,BANDEIRANTES
30,2505,Barbosa Ferraz,Barbosa Ferraz,BARBOSA FERRAZ
31,2703,Barra do Jacaré,Barra do Jacaré,BARRA DO JACARE
32,2604,Barracão,Barracão,BARRACAO
33,2752,Bela Vista da Caroba,Bela Vista da Caroba,BELA VISTA DA CAROBA
34,2802,Bela Vista do Paraíso,Bela Vista do Paraíso,BELA VISTA DO PARAISO
35,2901,Bituruna,Bituruna,BITURUNA
36,3008,Boa Esperança,Boa Esperança,BOA ESPERANCA
37,3024,Boa Esperança do Iguaçu,Boa Esperança do Iguaçu,BOA ESPERANCA DO IGUACU
38,3040,Boa Ventura de São Roque,Boa Ventura de São Roque,BOA VENTURA DE SAO ROQUE
39,3057,Boa Vista da Aparecida,Boa Vista da Aparecida,BOA VISTA DA APARECIDA
40,3107,Bocaiúva do Sul,Bocaiúva do Sul,BOCAIUVA DO SUL
41,3156,Bom Jesus do Sul,Bom Jesus do Sul,BOM JESUS DO SUL
42,3206,Bom Sucesso,Bom Sucesso,BOM SUCESSO
43,3222,Bom Sucesso do Sul,Bom Sucesso do Sul,BOM SUCESSO DO SUL
44,3305,Borrazópolis,Borrazópolis,BORRAZOPOLIS
45,3354,Braganey,Braganey,BRAGANEY
46,3370,Brasilândia do Sul,Brasilândia do Sul,BRASILANDIA DO SUL
