1,Abatiá,ABATIA,,
2,Adrianópolis,ADRIANOPOLIS,,
3,Agudos do Sul,AGUDOS DO SUL,,
4,Almirante Tamandaré,ALMIRANTE TAMANDARE,4,0
5,Altamira do Paraná,ALTAMIRA DO PARANA,,
6,Alto Paraná,ALTO PARANA,,
7,Alto Paraíso,ALTO PARAISO,,
8,Alto Piquiri,ALTO PIQUIRI,,
9,Altônia,ALTONIA,,
10,Alvorada do Sul,ALVORADA DO SUL,,
11,Amaporã,AMAPORA,,
12,Ampére,AMPERE,,
13,Anahy,ANAHY,,
14,Andirá,ANDIRA,,
15,Antonina,ANTONINA,,
16,Antônio Olinto,ANTONIO OLINTO,,
17,Apucarana,APUCARANA,,
18,Arapongas,ARAPONGAS,9,0
19,Arapoti,ARAPOTI,,
20,Arapuã,ARAPUA,,
21,Araruna,ARARUNA,7,0
22,Araucária,ARAUCARIA,4,0
23,Ariranha do Ivaí,ARIRANHA DO IVAI,,
24,Assaí,ASSAI,,
25,Assis Chateaubriand,ASSIS CHATEAUBRIAND,5,0
26,Astorga,ASTORGA,,
27,Atalaia,ATALAIA,,
28,Balsa Nova,BALSA NOVA,5,0
29,Bandeirantes,BANDEIRANTES,2,0
30,Barbosa Ferraz,BARBOSA FERRAZ,,
31,Barra do Jacaré,BARRA DO JACARE,,
32,Barracão,BARRACAO,,
33,Bela Vista da Caroba,BELA VISTA DA CAROBA,,
34,Bela Vista do Paraíso,BELA VISTA DO PARAISO,,
35,Bituruna,BITURUNA,,
36,Boa Esperança,BOA ESPERANCA,,
37,Boa Esperança do Iguaçu,BOA ESPERANCA DO IGUACU,,
38,Boa Ventura de São Roque,BOA VENTURA DE SAO ROQUE,,
39,Boa Vista da Aparecida,BOA VISTA DA APARECIDA,,
40,Bocaiúva do Sul,BOCAIUVA DO SUL,,
41,Bom Jesus do Sul,BOM JESUS DO SUL,,
42,Bom Sucesso,BOM SUCESSO,,
43,Bom Sucesso do Sul,BOM SUCESSO DO SUL,,
44,Borrazópolis,BORRAZOPOLIS,,
45,Braganey,BRAGANEY,,
46,Brasilândia do Sul,BRASILANDIA DO SUL,,
47,Cafeara,CAFEARA,,
48,Cafelândia,CAFELANDIA,,
49,Cafezal do Sul,CAFEZAL DO SUL,,
50,Califórnia,CALIFORNIA,,
51,Cambará,CAMBARA,,
52,Cambira,CAMBIRA,,
53,Cambé,CAMBE,4,0
54,Campina Grande do Sul,CAMPINA GRANDE DO SUL,1,0
55,Campina da Lagoa,CAMPINA DA LAGOA,1,1
56,Campina do Simão,CAMPINA DO SIMAO,,
57,Campo Bonito,CAMPO BONITO,,
58,Campo Largo,CAMPO LARGO,11,0
59,Campo Magro,CAMPO MAGRO,1,0
60,Campo Mourão,CAMPO MOURAO,18,4
61,Campo do Tenente,CAMPO DO TENENTE,,
62,Candói,CANDOI,,
63,Cantagalo,CANTAGALO,,
64,Capanema,CAPANEMA,,
65,Capitão Leônidas Marques,CAPITAO LEONIDAS MARQUES,,
66,Carambeí,CARAMBEI,,
67,Carlópolis,CARLOPOLIS,,
68,Cascavel,CASCAVEL,58,2
